required_field,research_purpose,preferred_source,fallback_source,ifind_endpoint_or_function,indicator_id,account_permission,history_start,pit_ready,revision_available,license_status,probe_status,decision,evidence_path
trade_calendar,交易日对齐,open_source_akshare,ifind,get_trade_dates/THS_DateQuery,,not_required,pending_stage_1_audit,false,false,open_source_terms_pending,not_run,open_source,src/ashare_factor_research/data/trading_calendar.py
daily_ohlcv,收益与流动性,open_source_akshare,ifind,cmd_history_quotation/THS_HQ,"open;high;low;close;volume;amount",unknown,pending_stage_1_audit,false,false,ifind_unconfirmed,blocked_missing_access_token,open_source,src/ashare_factor_research/data/data_loader.py
adjustment_factor,复权与公司行动,open_source_akshare,ifind,cmd_history_quotation/THS_HQ,,unknown,pending_stage_1_audit,false,false,ifind_unconfirmed,blocked_missing_access_token,open_source,src/ashare_factor_research/data/data_loader.py
market_cap,规模因子与中性化,open_source_akshare,ifind,basic_data_service/THS_BD,,unknown,pending_stage_1_audit,false,false,ifind_unconfirmed,blocked_missing_access_token,open_source,src/ashare_factor_research/data/data_loader.py
financial_value_and_announcement_time,PIT基本面因子,unresolved,ifind,basic_data_service_or_date_sequence/THS_BD_or_THS_DS,,unknown,unknown,false,unknown,ifind_unconfirmed,blocked_missing_indicator_id,unavailable,reports/ifind_license_and_permission_checklist.md
historical_index_membership,消除幸存者偏差,unresolved,ifind,data_pool/THS_DataPool_or_account_report,,unknown,unknown,false,unknown,ifind_unconfirmed,blocked_missing_report_id,unavailable,reports/ifind_license_and_permission_checklist.md
st_status_history,可交易股票池,unresolved,ifind,basic_data_service_or_data_pool,,unknown,unknown,false,unknown,ifind_unconfirmed,blocked_missing_indicator_id,unavailable,reports/ifind_license_and_permission_checklist.md
suspension_history,成交可实现性,unresolved,ifind,cmd_history_quotation_or_basic_data_service,,unknown,unknown,false,unknown,ifind_unconfirmed,blocked_missing_indicator_id,unavailable,reports/ifind_license_and_permission_checklist.md
limit_price_history,涨跌停约束,open_source_akshare,ifind,basic_data_service_or_date_sequence,,unknown,pending_stage_1_audit,false,false,ifind_unconfirmed,blocked_missing_indicator_id,open_source,src/ashare_factor_research/data/data_loader.py
announcement_timestamp_and_revision,事件可用时点,unresolved,ifind,report_query/THS_ReportQuery,,unknown,unknown,false,unknown,ifind_unconfirmed,blocked_missing_report_id,unavailable,reports/ifind_license_and_permission_checklist.md
macro_release_and_revision,状态变量PIT,unresolved,ifind,edb_service/THS_EDB,,unknown,unknown,false,unknown,ifind_unconfirmed,blocked_missing_indicator_id,unavailable,reports/ifind_license_and_permission_checklist.md
semantic_stock_query,字段发现与人工核查,none,ifind,smart_stock_picking/THS_WCQuery,,unknown,unknown,false,unknown,ifind_unconfirmed,not_formal_pit_source,rejected_for_pit,reports/时间序列研究执行计划.md
